REG_CITY_NOT_LIVE_CITY,CLOSED_DAYS_CREDIT_ENDDATE_MEAN,PREV_CODE_REJECT_REASON_HC_MEAN,ORGANIZATION_TYPE_Self_employed,PREV_NAME_SELLER_INDUSTRY_Connectivity_MEAN,FLOORSMAX_AVG,APPROVED_RATE_DOWN_PAYMENT_MAX,PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN,PREV_AMT_APPLICATION_MIN,ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,PREV_AMT_GOODS_PRICE_MIN,BURO_CREDIT_TYPE_Mortgage_MEAN,PREV_PRODUCT_COMBINATION_Card_Street_MEAN,NAME_CONTRACT_TYPE_Revolving_loans,PREV_NAME_PORTFOLIO_POS_MEAN,BURO_DAYS_CREDIT_VAR,AMT_REQ_CREDIT_BUREAU_QRT,OBS_30_CNT_SOCIAL_CIRCLE,PREV_NAME_CLIENT_TYPE_New_MEAN,PREV_NAME_TYPE_SUITE_nan_MEAN,APPROVED_APP_CREDIT_PERC_MAX,APPROVED_HOUR_APPR_PROCESS_START_MAX,INSTAL_PAYMENT_DIFF_MAX,PREV_NAME_PRODUCT_TYPE_walk_in_MEAN,DEF_30_CNT_SOCIAL_CIRCLE,PREV_DAYS_DECISION_MEAN,CLOSED_DAYS_CREDIT_VAR,PREV_CNT_PAYMENT_SUM,POS_NAME_CONTRACT_STATUS_Active_MEAN,PREV_NAME_YIELD_GROUP_XNA_MEAN,PREV_PRODUCT_COMBINATION_Cash_X_Sell__low_MEAN,TOTALAREA_MODE,INCOME_PER_PERSON,PREV_NAME_YIELD_GROUP_low_action_MEAN,FLAG_DOCUMENT_3,BURO_DAYS_CREDIT_UPDATE_MEAN,PREV_CHANNEL_TYPE_AP___Cash_loan__MEAN,INSTAL_DPD_MAX,BURO_MONTHS_BALANCE_SIZE_SUM,FLAG_OWN_CAR,BURO_DAYS_CREDIT_ENDDATE_MIN,YEARS_BEGINEXPLUATATION_MEDI,BURO_DAYS_CREDIT_MEAN,BURO_DAYS_CREDIT_ENDDATE_MEAN,ACTIVE_DAYS_CREDIT_UPDATE_MEAN,NAME_FAMILY_STATUS_Married,REGION_RATING_CLIENT_W_CITY,INSTAL_PAYMENT_PERC_MEAN,INSTAL_DBD_MEAN,ACTIVE_DAYS_CREDIT_MEAN,INSTAL_PAYMENT_DIFF_SUM,INSTAL_DBD_MAX,PREV_NAME_CONTRACT_STATUS_Approved_MEAN,PREV_NAME_YIELD_GROUP_high_MEAN,ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,PREV_APP_CREDIT_PERC_VAR,PREV_AMT_ANNUITY_MIN,BURO_CREDIT_ACTIVE_Closed_MEAN,INSTAL_DBD_SUM,INSTAL_DAYS_ENTRY_PAYMENT_SUM,ACTIVE_AMT_CREDIT_SUM_MEAN,CLOSED_DAYS_CREDIT_ENDDATE_MAX,DAYS_LAST_PHONE_CHANGE,PREV_DAYS_DECISION_MAX,INSTAL_PAYMENT_DIFF_MEAN,DAYS_REGISTRATION,REGION_POPULATION_RELATIVE,APPROVED_AMT_DOWN_PAYMENT_MAX,ACTIVE_DAYS_CREDIT_ENDDATE_MIN,INCOME_CREDIT_PERC,APPROVED_AMT_ANNUITY_MEAN,PREV_APP_CREDIT_PERC_MIN,INSTAL_AMT_PAYMENT_MEAN,BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,NAME_EDUCATION_TYPE_Higher_education,PREV_DAYS_DECISION_MIN,CLOSED_AMT_CREDIT_SUM_MAX,PREV_NAME_CONTRACT_STATUS_Refused_MEAN,BURO_CREDIT_TYPE_Microloan_MEAN,POS_MONTHS_BALANCE_SIZE,APPROVED_CNT_PAYMENT_SUM,POS_SK_DPD_DEF_MAX,PREV_APP_CREDIT_PERC_MEAN,CLOSED_DAYS_CREDIT_MAX,INSTAL_AMT_PAYMENT_MIN,AMT_GOODS_PRICE,CODE_GENDER,ANNUITY_INCOME_PERC,DAYS_ID_PUBLISH,INSTAL_DPD_MEAN,ACTIVE_DAYS_CREDIT_ENDDATE_MAX,INSTAL_AMT_PAYMENT_SUM,DAYS_EMPLOYED,INSTAL_AMT_INSTALMENT_MAX,PREV_CNT_PAYMENT_MEAN,AMT_ANNUITY,DAYS_BIRTH,PAYMENT_RATE,EXT_SOURCE_3,EXT_SOURCE_2
0,,,0,,0.1667,,,,,,,,0,,,0.0,6.0,,,,,,,0.0,,,,,,,0.0251,247500.0,,1,,,,,0,,0.9737,,,,0,1,,,,,,,,,,,,,,,,-1547.0,,,-11084.0,0.032561,,,1.1,,,,,0,,,,,,,,,,,225000.0,1,0.0890909090909091,-4047,,,,-2633.0,,,22050.0,-23438,0.098,0.3774042489507649,0.7362355655686614
0,,,0,,,,,,,,,,0,,,1.0,0.0,,,,,,,0.0,,,,,,,,78750.0,,1,,,,,1,,,,,,1,2,,,,,,,,,,,,,,,,-855.0,,,-6195.0,0.009175,,,0.13345992960942,,,,,1,,,,,,,,,,,1030500.0,1,0.2199142857142857,-1411,,,,-2542.0,,,34636.5,-17859,0.029349745091534447,,0.7441328160877588
1,,,0,,0.0417,,,,,,,,0,,,0.0,0.0,,,,,,,0.0,,,,,,,0.0082,135000.0,,1,,,,,0,,0.9737,,,,0,2,,,,,,,,,,,,,,,,-740.0,,,-3983.0,0.018029,,,1.1522507297587956,,,,,0,,,,,,,,,,,103500.0,0,0.09443333333333333,-1124,,,,-1149.0,,,12748.5,-9108,0.10881087724688893,0.5638350489514956,0.3564689046182225
0,,,0,,0.1667,,,,,,,,0,,,0.0,0.0,,,,,,,0.0,,,,,,,0.0839,25500.0,,1,,,,,0,,0.9796,,,,1,3,,,,,,,,,,,,,,,,-765.0,,,-4743.0,0.006296,,,0.18888888888888888,,,,,1,,,,,,,,,,,405000.0,1,0.20129411764705882,-4599,,,,-785.0,,,15399.0,-15915,0.03802222222222222,0.110332428166289,0.4588040213853685
1,,,0,,,,,,,,,,0,,,0.0,0.0,,,,,,,0.0,,,,,,,,56250.0,,1,,,,,1,,,,,,1,2,,,,,,,,,,,,,,,,-1381.0,,,-1381.0,0.018634,,,0.148969133595519,,,,,0,,,,,,,,,,,675000.0,1,0.34388,-558,,,,-2035.0,,,38686.5,-8964,0.05122750566082707,0.5460231970049609,0.6582461741649085
1,,,0,,,,,,,,,,0,,,,1.0,,,,,,,0.0,,,,,,,,45000.0,,1,,,,,1,,,,,,1,2,,,,,,,,,,,,,,,,0.0,,,-7052.0,0.025164,,,0.19801980198019803,,,,,0,,,,,,,,,,,454500.0,1,0.2444,-401,,,,-3032.0,,,21996.0,-12902,0.0483960396039604,,0.3962230084274523
0,,,0,,0.1667,,,,,,,,0,,,0.0,0.0,,,,,,,0.0,,,,,,,0.0601,33750.0,,1,,,,,0,,0.9767,,,,1,2,,,,,,,,,,,,,,,,-1057.0,,,-209.0,0.0096569999999999,,,0.4420866489832007,,,,,0,,,,,,,,,,,103500.0,1,0.1174,-396,,,,-362.0,,,7924.5,-16848,0.051900972590627766,0.6109913280868294,0.5520163868600351
0,,0.0,0,0.0,,0.1089090909090909,1.0,58050.0,,58050.0,,0.0,1,1.0,,0.0,5.0,0.0,0.0,1.1111111111111112,12.0,,0.0,0.0,-1555.0,,10.0,,0.0,0.0,,90000.0,0.0,0,,0.0,,,0,,,,,,0,3,,,,,,1.0,0.0,,,6232.725,,,,,,-173.0,-1555.0,,-2808.0,0.002042,5805.0,,0.2,6232.725,1.1111111111111112,,,1,-1555.0,,0.0,,,10.0,,1.1111111111111112,,,225000.0,1,0.25,-1,,,,-2047.0,,10.0,22500.0,-16462,0.05,0.1285043773724039,0.5253356281142411
0,,,0,,,,,,,,,,0,,,0.0,0.0,,,,,,,0.0,,,,,,,,27000.0,,1,,,,,0,,,,,,0,3,,,,,,,,,,,,,,,,-3113.0,,,-6609.0,0.020713,,,0.42402826855123676,,,,,0,,,,,,,,,,,112500.0,1,0.25633333333333336,-385,,,,-589.0,,,13842.0,-16846,0.10869257950530035,0.6023863442690867,0.5341386506289374
0,,,0,,,,,,,,,,0,,,,0.0,,,,,,,0.0,,,,,,,,56250.0,,1,,,,,1,,,,,,1,3,,,,,,,,,,,,,,,,-613.0,,,-7984.0,0.006305,,,0.3254784533263898,,,,,0,,,,,,,,,,,243000.0,0,0.14436,-4376,,,,-1977.0,,,16240.5,-14671,0.04698606952219763,,0.5451499236047679
